Nome,Conta,ID,URL,Categoria
G1,g1,8802752,g1.globo.com,Imprensa Tradicional Brasileira
UOL Noticias,UOLNoticias,14594698,noticias.uol.com.br,Imprensa Tradicional Brasileira
O Globo Politica,OGloboPolitica,156719729,oglobo.globo.com,Imprensa Tradicional Brasileira
O Antagonista,o_antagonista,2880932962,www.oantagonista.com,Imprensa Posicionada
VEJA,VEJA,17715048,veja.abril.com.br,Imprensa Tradicional Brasileira
Brasil247,brasil247,248890506,www.brasil247.com,Site Hiperpartidario
Republica de Curitiba,republica_ctba,945809862390370304,republicadecuritiba.n,Site Hiperpartidario
Jornal da Cidade Online,JornalDaCidadeO,994303120376303616,www.jornaldacidadeonline.com.br,Site Hiperpartidario
Exame,exame,30070288,exame.abril.com.br,Imprensa Tradicional Brasileira
Imprensa Viva,muylaerte,85241358,www.imprensaviva.com,Site Hiperpartidario
Folha,folha,14594813,folha.uol.com.br,Imprensa Tradicional Brasileira
El Pais,el_pais,7996082,brasil.elpais.com,Imprensa Tradicional Brasileira
Revista Forum,revistaforum,19593634,www.revistaforum.com.br,Imprensa Posicionada
DCM,DCM_online,43340387,www.diariodocentrodomundo.com.br,Site Hiperpartidario
BBC Brasil,bbcbrasil,790680,www.bbc.com,Imprensa Tradicional Estrangeira
R7,portalR7,65473559,noticias.r7.com,Imprensa Tradicional Brasileira
Estadao,Estadao,9317502,politica.estadao.com.br,Imprensa Tradicional Brasileira
Diario do Brasil,diariodobrasil,57732270,www.diariodobrasil.org,Site Hiperpartidario
Falando Verdades,falandoverdes2,744225149017284608,falandoverdades.com.br,Site Hiperpartidario
Catraca Livre,catracalivre,18938394,catracalivre.com.br,Imprensa Digital
Folha Politica,FolhaPolitica,2213014880,www.folhapolitica.org,Site Hiperpartidario
Gazeta Povo,gazetadopovo,15084884,www.gazetadopovo.com.br,Imprensa posicionada
ISTOE,RevistaISTOE,29913589,istoe.com.br,Imprensa Tradicional Brasileira
MBL Livre,MBLivre,1523823530,mblnews.org,Site Hiperpartidario
Pragmatismo Politico,Pragmatismo_,151635190,pragmatismopolitico.com.br,Site Hiperpartidario
Click Politica,ClickPolitica_,471421861,clickpolitica.com.br,Site Hiperpartidario
Carta Capital,cartacapital,16632084,www.cartacapital.com.br,Imprensa posicionada
Conversa Afiada,ConversaAfiada,17229791,www.conversaafiada.com.br,Site Hiperpartidario
JornalGGN,JornalGGN,1347385232,jornalggn.com.br,Site Hiperpartidario
Esquerda Diario,EsquerdaDiario,3029126512,esquerdadiario.com.br,Site Hiperpartidario
The Intercept,TheInterceptBr,751454653011951616,theintercept.com,Imprensa posicionada
CBN,CBNoficial,785833176,cbn.globoradio.globo.com,Imprensa Tradicional Brasileira
Epoca,RevistaEpoca,21207962,epoca.globo.com,Imprensa Tradicional Brasileira
Huffpost,huffpostbrasil,1875887166,www.huffpostbrasil.com,Blog ou Site de Opiniao
Jovem Pan,JovemPanNews,106175018,jovempan.com.br,Imprensa Tradicional Brasileira
Esmael Morais,esmaelmorais,19657485,www.esmaelmorais.com.br,Site Hiperpartidario
Rede Brasil Atual,redebrasilatual,34366699,www.redebrasilatual.com.br,Imprensa posicionada
Valor,valoreconomico,32529120,www.valor.com.br,Imprensa Tradicional Brasileira
Vio Mundo,VIOMUNDO,18601589,www.viomundo.com.br,Site Hiperpartidario
